pair_id,risk_score
P005251A8EE3F,0.013595246685184973
P0063FB324B74,0.007426863020970752
P006418909CD8,0.02646713369965963
P0067DB589E5D,0.014964754244652361
P00A052D15843,8.422089615101466e-05
P00B84CE3962D,0.020365333445093323
P0118A617043C,0.02034956607873084
P012860AA9106,0.01094781976032567
P01CD97EEA998,0.010947658483151842
P01E3FEA575F0,0.012210619201843654
P01E55374ACC2,0.014965190661111013
P028077F81BA5,0.05292462726080685
P0281F8994908,0.00040926205928950535
P0284807D82F0,0.020349566078106344
P0288D0D4628D,0.002096111252159506
P02C7FF235D86,0.026467133698989707
P02DA02503472,0.0030868700244773913
P031E0C1DC238,0.0200173966798756
P0327CE2BA876,0.029130701752164652
P035BB1B70032,0.020349566078088965
P037F8DEFAA4E,0.04866104734908599
P040948A091DA,0.003435170950405577
P041403A5BA57,0.0002741653312864977
P04187694D881,0.028777496846336383
P042C39A50B83,8.422089624284997e-05
P0430044C52E6,0.01094765848263205
P0461EFF49A0C,0.0019027542948704273
P048D90B3019F,0.02729248002822689
P04EBF469FC37,0.014964754244652361
P05892DF38418,0.008252365137840497
P05FB493FDBAA,0.02034956607873084
P06194F113A4B,0.0184713014579801
P0660F45B04E0,0.0030868702243250037
P068482622002,0.003048282193235716
P069964045861,0.014964754244652361
P06AC7A24B2F5,0.0019027542948704273
P070F7CAC70FE,0.017889556675355394
P07245F6E5034,0.008252365137840497
P074670D4C8B8,0.026467133698989707
P079FF0AFC62E,0.0019027542948704273
P07ED121A6DA2,0.014964754245239987
P07FE75432AA7,0.010948770909972195
P0860594CCFA5,0.003105491286757522
P0862E9333E1A,0.028997715243096373
P0879DF4082CE,0.020349566078088965
P08FFBA329D40,0.02646713369965963
P09256F6CC447,0.020350042783270638
P094250108B44,0.014964754245239987
P094759FC3B7B,0.02034956607873084
P0998BEC06848,0.020349566444497737
P09C01D8E7413,0.008252365137840497
P09C33E4D24A1,0.014964754245239987
P09CFDD80DD80,0.014964754245239987
P09D8023BCBA4,0.026467133698971062
P09E91BE2F497,0.02034956607873084
P09E9EC4EA2A5,0.026467133698989707
P0A442FAE53EB,0.0019027542948704273
P0A518235B402,0.04184666860250531
P0A51D9A3226F,0.013956755121044096
P0AB4EFCC5B95,0.014964754245239987
P0AE55B1C23BD,0.014964754244668275
P0AE9484451C2,0.020349566078106344
P0B1E1FAA7FF3,0.02646713369965963
P0B2478534540,0.008252365137840497
P0B6D8845F72A,0.013131172719550308
P0B949A882A1B,0.012210619201843654
P0BA1B0A1246F,0.015218139567787725
P0BDCDA873222,0.02646713369965963
P0C49D1FD8E85,0.020350042783270638
P0C6570B53A8E,0.0019027542945826159
P0CD072D6D899,0.020349927635833175
P0CD1AF261121,0.020349566078088965
P0CD472B84DC8,0.04504852397363206
P0CEDEE00E8EF,0.0019027542945746012
P0D2180C1A81D,0.05297825060979182
P0D2A1BFE306A,0.020350042783270638
P0D93230C6A8A,0.00030557306972261484
P0D940A07FFCF,0.0019027542948704273
P0E182FAA16FA,8.422089624284997e-05
P0E9112B2A8E7,0.020349566317863752
P0EAEF7D0B186,0.029083675372904218
P0EF4399732E2,0.013708213575938351
P0F3BA9577A1F,0.020349566078088965
P0FAD3FCE8A09,0.008252365137840497
P108C432D8991,0.02034956607873084
P10A8AE11BE0E,0.0019027542948704273
P10CEA4B0DE7E,0.0019040879037011444
P11154748A263,0.014647933736794122
P1120D64AB713,0.02034956607873084
P114DB9D0FD2A,0.0019027542945746012
P114ECF3B702E,0.007471798117773092
P11506D49A70D,0.026467133698971062
P116811724693,0.013956755121619618
P1171C6E58E66,0.013131295914453027
P11DCFFEA2312,0.00030557306972261484
P11F99B26E1D9,0.008252365137840497
P124D2CBA14E9,0.014964754245239987
P125B62F08D0E,0.02034956607873084
P128281370600,0.014964754245239987
P128283B64E11,0.02034956607873084
P12882B4D6CAE,0.006252960909068474
P12CFB34142F1,0.29325648942896704
P12E00115813F,0.020349566078088965
P1305F2065168,0.010947658482617577
P1319893386E8,0.0019348662283852202
P13635EEE22C1,0.0004870801447274321
P13B441ED05FD,0.012218206779456965
P13CD5685070E,0.013710417701062677
P13DC100F177C,0.0019027542945826159
P1417076E8763,0.02034956607873084
P1433C83FC577,0.014964754244668275
P143BA82939C6,0.07744600759851421
P14E84230D976,0.049779605049279765
P1568419F8DBF,0.020349566078106344
P15CE925A789D,0.013131172719534994
P1603EA368C08,0.008252365137840497
P1626067FE1E7,0.02646713369965963
P16303F6D73DD,0.0019791798018883805
P1650987B568E,0.0019027542948704273
P166E125601A3,0.0019027542945826159
P1683575A816E,0.0019027542948704273
P16BC6F6E096B,0.00780822409766247
P16C8E705C901,0.049958422732185606
P1715DDE94CF9,0.04889037634277943
P173692D208BB,0.008252365137365315
P173E6291F5CE,0.02196683628841548
P176F4B7CA6FC,0.02034956607873084
P17B83D2318B7,0.000134130274103879
P17CFDBE8F87C,0.02646713369965963
P17E3D23B0FB1,0.02034956607873084
P17EC295BB76D,0.026467133698989707
P1831691DFBD5,0.02034956607873084
P188144721769,0.02646713369965963
P1893F48685CC,0.012210619516758472
P18EB7179AE72,0.0019027542948704273
P19761F488FAC,0.0014621584663975164
P197E99F00D97,0.010947658483151842
P19813D527590,0.0544094102068127
P19D4F0E87BAA,0.02646713369965963
P19D71A3F3E31,0.02646713369965963
P19EC322D3772,0.014964754244668275
P1A757A2ED816,0.01094765848263205
P1AFF59A8765F,0.0019027542945826159
P1B2279348520,0.000134130274103879
P1B3B26A4BA6E,0.02246299124298638
P1B5D24392F05,0.010947658482617577
P1B7248810771,0.026467133698989707
P1B7A797C71BB,0.02646713369965963
P1B9242F1821B,0.012210619201306002
P1BC4E79DD397,0.05440941020600775
P1BDD0CF08EA2,0.007392885403296513
P1BED99040B43,0.07876950119640105
P1C04B55ABB72,0.014964754245239987
P1C08B01A8A10,0.013361166563809269
P1C1159C6A61B,0.0260329620813763
P1C17D5004B1C,0.02646713369965963
P1C1D920226C3,0.02021285658272526
P1C284366873D,0.02646713369965963
P1C489E437D71,0.005701398138754797
P1C4ADBD563AF,0.014964754244668275
P1C9E228CC52B,8.422089624284997e-05
P1D0A044B6033,0.0544094102068127
P1D22D24A493D,0.01094765848263205
P1D34B0B7E65C,0.020349566078106344
P1DBC6ECB7180,0.02034956607873084
P1E4495B234E0,0.007860403707994425
P1E6E6562379B,0.012210619201291035
P1F0AABBC7E93,0.020349566444497737
P1F48409AE85C,0.0019027542945826159
P1F589C64E823,0.02646974208628578
